mainData_articul;configCard_section;mainData_name;mainData_description;mainData_price;mainData_oldPrice;characteristic_width;characteristic_picture;characteristic_color;characteristic_counryOfOrigin;characteristic_composition;characteristic_weight;seoTags_header;seoTags_description;seoTags_keyWords
Хл-3/3д;Наполнители и утеплители;Микропрочес;"Аналог лебяжьего пуха. Белоснежный. Очень мягкий. При покупке от 5кг цена - 385руб./кг<br /><br />Товар добавляется в корзину кратно 1кг. Если Вам нужен нестандартный вес (например, 0,5кг) , укажите эту информацию в комментарии к заказу в корзине.#nbsp;Мы откорректируем заказ согласно Вашим пожеланиям.#nbsp;При заказе от 3000руб. Вы получите дополнительную скидку 5%. #nbsp;<br />В случае заказа от 5кг, наполнитель будет по цене мелкого опта. На мелкооптовые заказы скидка 5% не распространяется, но сумма учитывается в общей сумме заказа для получения скидки. На другие позиции в заказе скидка 5% будет действовать.";420;;;;;Россия;;;;;
М-50-2;Молнии;Молния потайная 50см белая;Молния потайная неразъемная.<br />Цвет: белый<br />Артикул: М-50-1<br />Размер: 50см<br /><br />При заказе от 3000руб. Вы получите дополнительную;27;;;;Белый;Китай;;;;;
Р-10-1;Резинка;Резинка вязаная 10мм белая;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;8;;;;Белый;Россия;;;;;
Пб-кл-1;Панели для бортиков;Набор панелей для бортиков 35*35см Мишка мятный;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-2;Панели для бортиков;Набор панелей для бортиков 35*35см Мишка синий;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-4;Панели для бортиков;Набор панелей для бортиков 35*35см Мишка сиреневый;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-5;Панели для бортиков;Набор панелей для бортиков 35*35см Зайка серый;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-6;Панели для бортиков;Набор панелей для бортиков 35*35см;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-8;Панели для бортиков;Набор панелей для бортиков 35*35см Зайка мальчик;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-9;Панели для бортиков;Набор панелей для бортиков 35*35см Зайка девочка;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-10;Панели для бортиков;Набор панелей для бортиков 35*35см Мишка с фотоаппаратом;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-11;Панели для бортиков;Набор панелей для бортиков 35*35см Совята;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-12;Панели для бортиков;Набор панелей для бортиков 35*35см Совы спящие;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-13;Панели для бортиков;Набор панелей для бортиков 35*35см Мамы с детками;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-14;Панели для бортиков;Набор панелей для бортиков 35*35см Единорог сиреневый;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-17;Панели для бортиков;Набор панелей для бортиков 35*35см Единорог с мороженым;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-18;Панели для бортиков;Набор панелей для бортиков 35*35см Капитан Америка;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-20;Панели для бортиков;Набор панелей для бортиков 35*35см Мишка Бэтмен;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-21;Панели для бортиков;Набор панелей для бортиков 35*35см Зайка сиреневый;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-22/1;Панели для бортиков;Набор панелей для бортиков 35*35см Слоники гоубые;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-23;Панели для бортиков;Набор панелей для бортиков 35*35см Лиса с вигвамом;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-25/1;Панели для бортиков;Набор панелей для бортиков 35*35см Слоники розовые;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-26;Панели для бортиков;Набор панелей для бортиков 35*35см Совята коричневые;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-27;Панели для бортиков;Набор панелей для бортиков 35*35см Транспорт;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-28;Панели для бортиков;Набор панелей для бортиков 35*35см Сова мальчик;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-29;Панели для бортиков;Набор панелей для бортиков 35*35см Лисенок;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-30;Панели для бортиков;Набор панелей для бортиков 35*35см BOY;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
Пб-кл-31;Панели для бортиков;Набор панелей для бортиков 35*35см PRINCESS;Цифровая печать на премиум-сатине плотностью 140гр. В наборе 4 панели размером 35*35см. Рекомендованная температура стирки 30 град.<br /><br />При заказе от 3000руб. Вы получите дополнительную скидку 5%.;590;;;;;Россия;100% хлопок;140гр;;;
