mainData_articul;configCard_section;mainData_name;mainData_description;mainData_price;mainData_oldPrice;characteristic_width;characteristic_picture;characteristic_color;characteristic_counryOfOrigin;characteristic_composition;characteristic_weight;seoTags_header;seoTags_description;seoTags_keyWords
Т-сгл-13;Сатин (220-250см.);Сатин люкс сиреневый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;580;;240;Однотонный;Сиреневый;Турция;100% хлопок;130гр;Хлопковая ткань, Турецкий сатин;Хлопковая ткань, Турецкий сатин Сатин;Ткань, сатин, турецкий сатин, широкий сатин
КМР-16;Бязь;Бязь горох на черном;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Горох;Черный;Россия;100% хлопок;120-125гр;;;
Т-рнф-28;Ранфорс;Ранфорс Космос;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;390;;240;Космос;Мультицвет;Турция;100% хлопок;120гр;;;
К-пм-26/1;Плюш;Плюш минки бирюзовый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;420;;180;Однотонный;Голубой;Китай;100% пэ;260гр;;;
КМР-7;Бязь;Бязь горох на желтом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Горох;Желтый;Россия;100% хлопок;120-125гр;;;
КМР-8;Бязь;Бязь горох на бирюзовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Горох;Голубой;Россия;100% хлопок;120-125гр;;;
КМР-10;Бязь;Бязь горох на розовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Горох;Розовый;Россия;100% хлопок;120-125гр;;;
КМР-13;Бязь;Бязь горох на сером;;185;;150;Горох;Серый;Россия;100% хлопок;120-125гр;;;
КМР-14;Бязь;Бязь горох на коричневом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Горох;Коричневый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-1;Бязь;Бязь звезды на розовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Розовый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-2;Бязь;Бязь звезды на мятном;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Мятыйн;Россия;100% хлопок;120-125гр;;;
ИТ-зв-2б;Бязь;Бязь звезды мятные на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Звезды;Мятный;Россия;100% хлопок;120-125гр;;;
ИТ-зв-3;Бязь;Бязь звезды на сером;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Серый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-3б;Бязь;Бязь звезды серые на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Серый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-4;Бязь;Бязь звезды на голубом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Голубой;Россия;100% хлопок;120-125гр;;;
ИТ-зв-5;Бязь;Бязь звезды на бирюзовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Голубой;Россия;100% хлопок;120-125гр;;;
ИТ-зв-6;Бязь;Бязь звезды на коричневом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Коричневый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-6б;Бязь;Бязь звезды коричневые на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Коричневый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-8;Бязь;Бязь звезды на синем;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Синий;Россия;100% хлопок;120-125гр;;;
ИТ-зв-8б;Бязь;Бязь звезды синие на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Синий;Россия;100% хлопок;120-125гр;;;
Ит-пр-1;Бязь;Бязь звезды пряничные на сером;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Серый;Россия;100% хлопок;120-125гр;;;
Ит-пр-2;Бязь;Бязь звезды пряничные на коричневом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Коричневый;Россия;100% хлопок;120-125гр;;;
Ит-пр-3;Бязь;Бязь звезды пряничные на розовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Звезды;Розовый;Россия;100% хлопок;120-125гр;;;
Ит-зг-1;Бязь;Бязь зигзаг бирюзовый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Геометрия;Голубой;Россия;100% хлопок;120-125гр;;;
Ит-зг-3;Бязь;Бязь зигзаг серый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Геометрия;Серый;Россия;100% хлопок;120-125гр;;;
Ит-зг-4;Бязь;Бязь зигзаг мятный;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Геометрия;Мятный;Россия;100% хлопок;120-125гр;;;
Ит-зг-5;Бязь;Бязь зигзаг синий;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Геометрия;Синий;Россия;100% хлопок;120-125гр;;;
Ит-ср-3;Бязь;Бязь сердечки на сером;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Геометрия;Серый;Россия;100% хлопок;120-125гр;;;
ИТ-кзв-2;Бязь;Бязь звезды на сером;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Серый;Россия;100% хлопок;120-125гр;;;
ИТ-пл-2;Бязь;Бязь полоска мятная;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Геометрия;Мятный;Россия;100% хлопок;120-125гр;;;
Ит-кор-1;Бязь;Бязь короны на сером;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Геометрия;Серый;Россия;100% хлопок;120-125гр;;;
Ит-кор-1б;Бязь;Бязь короны серые на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Геометрия;Серый;Россия;100% хлопок;120-125гр;;;
Ит-кор-5;Бязь;Бязь короны на бирюзовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Геометрия;Голубой;Россия;100% хлопок;120-125гр;;;
Ит-кор-8;Бязь;Бязь короны на синем;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Геометрия;Синий;Россия;100% хлопок;120-125гр;;;
ИТ-св-2;Бязь;Бязь совы мятные;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Птицы и бабочки;Мятный;Россия;100% хлопок;120-125гр;;;
Уз-б-2;Бязь;Бязь мишки на синем;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;145;;150;Зверята;Синий;Узбекистан;100% хлопок;120-125гр;;;
ИТ-шт-2;Бязь;Бязь штурвалы;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Морской стиль;Мультицвет;Россия;100% хлопок;120-125гр;;;
Ит-мр-1;Бязь;Бязь мороженое;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Еда;Голубой;Россия;100% хлопок;120-125гр;;;
ТПС-01;Бязь;Бязь премиум синяя полоска;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;169;220;150;Геометрия;Синий;Россия;100% хлопок;142гр;;;
ТГК-01;Бязь;Бязь горох на шоколадном;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;235;;150;Горох;Коричневый;Россия;100% хлопок;142гр;;;
Б-01;Бязь;Бязь ГОСТ плотная белая;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;165;;150;Однотонный;Белый;Россия;100% хлопок;142гр;;;
ИТ-пм-2;Поплин;Поплин мишки зимние;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Зверята;Мультицвет;Россия;100% хлопок;110гр;;;
Ит-звр-1;Поплин;Поплин зверята;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;149;195;150;Зверята;Черный;Россия;100% хлопок;110гр;;;
ИТ-пзв-3;Поплин;Поплин звезды трехцветные;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;149;195;150;Звезды;Мультицвет;Россия;100% хлопок;110гр;;;
ИТ-пзг-3;Поплин;Поплин зигзаг трехцветный;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Геометрия;Мультицвет;Россия;100% хлопок;110гр;;;
ИТ-пгр-1;Поплин;Поплин горох на розовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Горох;Розовый;Россия;100% хлопок;110гр;;;
ИТ-пгр-2;Поплин;Поплин горох на мятном;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Горох;Мятный;Россия;100% хлопок;110гр;;;
ИТ-пгр-3;Поплин;Поплин горох на сером;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Горох;Серый;Россия;100% хлопок;110гр;;;
ИТ-пгр-3б;Поплин;Поплин горох серый на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Горох;Серый;Россия;100% хлопок;110гр;;;
ИТ-пгр-4;Поплин;Поплин горох на красном (уценка);Причина уценки: неустойчивая окраска ткани. Рекомендуется закреплять цвет перед пошивом и стирать на ручном режиме.<br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;100;195;150;Горох;Красный;Россия;100% хлопок;110гр;;;
ИТ-пгр-5;Поплин;Поплин горох на голубом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Горох;Голубой;Россия;100% хлопок;110гр;;;
Ит-звм-3;Поплин;Поплин звездочки на сером;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Звезды;Серый;Россия;100% хлопок;110гр;;;
Ит-звм-3б;Поплин;Поплин звездочки серые на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Звезды;Серый;Россия;100% хлопок;110гр;;;
Ит-звм-6;Поплин;Поплин звездочки на коричневом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Звезды;Коричневый;Россия;100% хлопок;110гр;;;
Ит-звм-6б;Поплин;Поплин звездочки коричневые на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Звезды;Коричневый;Россия;100% хлопок;110гр;;;
ИТ-пср-2;Поплин;Поплин сердечки на коричневом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;195;;150;Геометрия;Коричневый;Россия;100% хлопок;110гр;;;
Пнб-150-1;Поплин;Поплин звери на бежевом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;175;;150;Зверята;Бежевый;Россия;100% хлопок;110гр;;;
Пгл-150-1;Поплин;Поплин белый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;190;;150;Однотонный;Белый;Россия;100% хлопок;110гр;;;
Пгл-150-4;Поплин;Поплин сиреневый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;179;230;150;Однотонный;Сиреневый;Россия;100% хлопок;110гр;;;
Ткв-1;Перкаль;Перкаль бабочки;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;210;;150;Птицы и бабочки;Мультицвет;Россия;100% хлопок;105гр;;;
Ткв-2;Перкаль;Перкаль единороги;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;210;;150;Зверята;Мультицвет;Россия;100% хлопок;105гр;;;
Ткв-3;Перкаль;Перкаль совята;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;210;;150;Птицы и бабочки;Мультицвет;Россия;100% хлопок;105гр;;;
Ткв-4;Перкаль;Перкаль динозавры;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;210;;150;Зверята;Мультицвет;Россия;100% хлопок;105гр;;;
Ткв-6;Перкаль;Перкаль зайки балерины;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;210;;150;Зверята;Мультицвет;Россия;100% хлопок;105гр;;;
Ткв-7;Перкаль;Перкаль лисенок;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;168;210;150;Зверята;Мультицвет;Россия;100% хлопок;105гр;;;
Ткв-8;Перкаль;Перкаль гномы новогодние;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;210;;150;Новый год;Мультицвет;Россия;100% хлопок;105гр;;;
ТГБ-01;Перкаль;Перкаль горох на бежевом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;260;;150;Горох;Бежевый;Россия;100% хлопок;115-120гр;;;
ТГО-02;Перкаль;Перкаль горох на оливковом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;260;;150;Горох;Зеленый;Россия;100% хлопок;115-120гр;;;
ТГС-05;Перкаль;Перкаль горох на сиреневом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;220;260;150;Горох;Сиреневый;Россия;100% хлопок;115-120гр;;;
Пгл-220-1;Поплин;Поплин белый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;290;;220;Однотонный;Белый;Россия;100% хлопок;110гр;;;
Пгл-220-2;Поплин;Поплин светлый розовый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;310;;220;Однотонный;Розовый;Россия;100% хлопок;110гр;;;
Пгл-220-3;Поплин;Поплин мятный;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;264;310;220;Однотонный;Мятный;Россия;100% хлопок;110гр;;;
Пгл-220-4;Поплин;Поплин сиреневый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;310;;220;Однотонный;Сиреневый;Россия;100% хлопок;110гр;;;
